,model,dataset,n_classes_per_task,domain_inc,pretrained,task_idx,perf_metric,sim_metric,corr_value
0,resnet,cifar-100,20,False,False,1.0,all_cl_accs,prototypes_sim,-0.9997647131927931
1,resnet,cifar-100,20,False,False,1.0,all_cl_accs,entropy_ratio,0.3647149881287063
2,resnet,cifar-100,20,False,False,1.0,all_cl_accs,wass_dist,-0.2753865862890493
3,resnet,cifar-100,20,False,False,1.0,all_cl_accs,subspace_overlap,-0.13535767780798205
4,resnet,cifar-100,20,False,False,1.0,all_cl_accs,task2vec_final_layer,-0.6773854766119568
5,resnet,cifar-100,20,False,False,1.0,all_cl_accs,trace_overlap,0.006413544181319757
6,resnet,cifar-100,20,False,False,1.0,all_cl_accs,max_logit_ratio,-0.21065764896705805
7,resnet,cifar-100,20,False,False,1.0,all_cl_accs,task2vec_all_layers,-0.6473715678292186
8,resnet,cifar-100,20,False,False,1.0,all_cl_accs,max_prob_ratio,-0.6567572798328709
9,resnet,cifar-100,20,False,False,1.0,all_cl_accs,kl_div,0.5143220330138192
10,resnet,cifar-100,20,False,False,1.0,all_fgts,prototypes_sim,0.7401082164718633
11,resnet,cifar-100,20,False,False,1.0,all_fgts,entropy_ratio,-0.8862560021823038
12,resnet,cifar-100,20,False,False,1.0,all_fgts,wass_dist,0.8386847663932512
13,resnet,cifar-100,20,False,False,1.0,all_fgts,subspace_overlap,-0.5481054685626623
14,resnet,cifar-100,20,False,False,1.0,all_fgts,task2vec_final_layer,0.028326936721780337
15,resnet,cifar-100,20,False,False,1.0,all_fgts,trace_overlap,-0.6611012131496024
16,resnet,cifar-100,20,False,False,1.0,all_fgts,max_logit_ratio,0.8004943485769421
17,resnet,cifar-100,20,False,False,1.0,all_fgts,task2vec_all_layers,-0.011740890981572072
18,resnet,cifar-100,20,False,False,1.0,all_fgts,max_prob_ratio,0.9904360880985289
19,resnet,cifar-100,20,False,False,1.0,all_fgts,kl_div,0.17475310570813793
20,resnet,cifar-100,20,False,False,1.0,all_transfers,prototypes_sim,0.862261514009314
21,resnet,cifar-100,20,False,False,1.0,all_transfers,entropy_ratio,-0.7724638267216527
22,resnet,cifar-100,20,False,False,1.0,all_transfers,wass_dist,0.7092098969239524
23,resnet,cifar-100,20,False,False,1.0,all_transfers,subspace_overlap,-0.36497931983501225
24,resnet,cifar-100,20,False,False,1.0,all_transfers,task2vec_final_layer,0.2326656058499312
25,resnet,cifar-100,20,False,False,1.0,all_transfers,trace_overlap,-0.49322973584455987
26,resnet,cifar-100,20,False,False,1.0,all_transfers,max_logit_ratio,0.6606112663255963
27,resnet,cifar-100,20,False,False,1.0,all_transfers,task2vec_all_layers,0.193517071794672
28,resnet,cifar-100,20,False,False,1.0,all_transfers,max_prob_ratio,0.9411090223347113
29,resnet,cifar-100,20,False,False,1.0,all_transfers,kl_div,-0.030826990348496897
30,resnet,cifar-100,20,False,False,2.0,all_cl_accs,prototypes_sim,-0.9203345571109883
31,resnet,cifar-100,20,False,False,2.0,all_cl_accs,entropy_ratio,-0.31471693453380933
32,resnet,cifar-100,20,False,False,2.0,all_cl_accs,wass_dist,0.7880446000711746
33,resnet,cifar-100,20,False,False,2.0,all_cl_accs,subspace_overlap,-0.9781695244252128
34,resnet,cifar-100,20,False,False,2.0,all_cl_accs,task2vec_final_layer,-0.9865482669436928
35,resnet,cifar-100,20,False,False,2.0,all_cl_accs,trace_overlap,0.7981348274789681
36,resnet,cifar-100,20,False,False,2.0,all_cl_accs,max_logit_ratio,-0.43704162865001406
37,resnet,cifar-100,20,False,False,2.0,all_cl_accs,task2vec_all_layers,0.8929008154340973
38,resnet,cifar-100,20,False,False,2.0,all_cl_accs,max_prob_ratio,-0.4099759362850386
39,resnet,cifar-100,20,False,False,2.0,all_cl_accs,kl_div,0.9403880366389872
40,resnet,cifar-100,20,False,False,2.0,all_fgts,prototypes_sim,0.9996262694859017
41,resnet,cifar-100,20,False,False,2.0,all_fgts,entropy_ratio,-0.10882754142919787
42,resnet,cifar-100,20,False,False,2.0,all_fgts,wass_dist,-0.4603809285836281
43,resnet,cifar-100,20,False,False,2.0,all_fgts,subspace_overlap,0.9759262705232038
44,resnet,cifar-100,20,False,False,2.0,all_fgts,task2vec_final_layer,0.829039155290427
45,resnet,cifar-100,20,False,False,2.0,all_fgts,trace_overlap,-0.475023800379464
46,resnet,cifar-100,20,False,False,2.0,all_fgts,max_logit_ratio,0.7716993625355412
47,resnet,cifar-100,20,False,False,2.0,all_fgts,task2vec_all_layers,-0.6245422430473058
48,resnet,cifar-100,20,False,False,2.0,all_fgts,max_prob_ratio,0.7523549215036159
49,resnet,cifar-100,20,False,False,2.0,all_fgts,kl_div,-0.7135606784761547
50,resnet,cifar-100,20,False,False,2.0,all_transfers,prototypes_sim,-0.9990661156868661
51,resnet,cifar-100,20,False,False,2.0,all_transfers,entropy_ratio,0.1245993037345575
52,resnet,cifar-100,20,False,False,2.0,all_transfers,wass_dist,0.4462260385957705
53,resnet,cifar-100,20,False,False,2.0,all_transfers,subspace_overlap,-0.9723398185054154
54,resnet,cifar-100,20,False,False,2.0,all_transfers,task2vec_final_layer,-0.8200547856976268
55,resnet,cifar-100,20,False,False,2.0,all_transfers,trace_overlap,0.46099010895768433
56,resnet,cifar-100,20,False,False,2.0,all_transfers,max_logit_ratio,-0.7817014118850976
57,resnet,cifar-100,20,False,False,2.0,all_transfers,task2vec_all_layers,0.6120615116677695
58,resnet,cifar-100,20,False,False,2.0,all_transfers,max_prob_ratio,-0.7627210007372783
59,resnet,cifar-100,20,False,False,2.0,all_transfers,kl_div,0.702345420354586
60,resnet,cifar-100,20,False,False,3.0,all_cl_accs,prototypes_sim,-0.9825475433528057
61,resnet,cifar-100,20,False,False,3.0,all_cl_accs,entropy_ratio,-0.9906783098334326
62,resnet,cifar-100,20,False,False,3.0,all_cl_accs,wass_dist,-0.9555119667578132
63,resnet,cifar-100,20,False,False,3.0,all_cl_accs,subspace_overlap,-0.8764779410799175
64,resnet,cifar-100,20,False,False,3.0,all_cl_accs,task2vec_final_layer,0.3907728698422998
65,resnet,cifar-100,20,False,False,3.0,all_cl_accs,trace_overlap,-0.6849577052014141
66,resnet,cifar-100,20,False,False,3.0,all_cl_accs,max_logit_ratio,0.9980046722738496
67,resnet,cifar-100,20,False,False,3.0,all_cl_accs,task2vec_all_layers,-0.9098108368181302
68,resnet,cifar-100,20,False,False,3.0,all_cl_accs,max_prob_ratio,0.9967902361298471
69,resnet,cifar-100,20,False,False,3.0,all_cl_accs,kl_div,-0.49665095108289575
70,resnet,cifar-100,20,False,False,3.0,all_fgts,prototypes_sim,-0.984789961379656
71,resnet,cifar-100,20,False,False,3.0,all_fgts,entropy_ratio,-0.9747741000340231
72,resnet,cifar-100,20,False,False,3.0,all_fgts,wass_dist,-0.7892913238321576
73,resnet,cifar-100,20,False,False,3.0,all_fgts,subspace_overlap,-0.9901373460165008
